id;name;category;thickness_mm;price;edgePrice;image;discount;status;description;Webname;care;supplier;supplierUrl;datasheetUrl;Column1;_1;_2;_3;id_4
emerald-green-md;emerald-green-md;keramik;12;;;/materials/emerald-green-md.jpg;;backorder;polerad;emerald green md;;;;;;;;;
emperador-light;Emperador_Light;marmor;20;;;/materials/Emperador_Light.jpg;;backorder;;Emperador Light;;;;;;;;;
emporio-onyx-2cm-3163;emporio-onyx;translucent,exotic stones,onyx;20;;;/materials/emporio-onyx.jpg;;backorder;polerad;emporio onyx;;;;;;;;;
equinox-042364;equinox;marmor;3;;;/materials/equinox.jpg;;backorder;polerad;equinox;;;;;;;;;
eramosa;Eramosa;marmor;20;;;/materials/Eramosa.jpg;;backorder;;Eramosa;;;;;;;;;
eramosa-cross-cut;Eramosa_Cross_Cut;marmor;20;;;/materials/Eramosa_Cross_Cut.jpg;;backorder;;Eramosa Cross Cut;;;;;;;;;
eternal-calacatta-gold-20-mm-kompositsten;Eternal_Calacatta_Gold;kvarts/komposit;20;;;/materials/Eternal_Calacatta_Gold.jpg;;backorder;kompositstenskivor i silestone eternal calacatta gold material är starka, hållbara och extremt hygienisk.;Eternal Calacatta Gold;;;;;;;;;
eternal-calacatta-gold-30-mm-kompositsten;Eternal_Calacatta_Gold;kvarts/komposit;30;;;/materials/Eternal_Calacatta_Gold.jpg;;backorder;kompositstenskivor i silestone eternal calacatta gold material är starka, hållbara och extremt hygienisk.;Eternal Calacatta Gold;;;;;;;;;
eternal-marquina-20-mm-kompositsten;Eternal_Marquina;kvarts/komposit;20;;;/materials/Eternal_Marquina.jpg;;backorder;kompositstenskivor i silestone eternal marquina material är starka, hållbara och extremt hygienisk.;Eternal Marquina;;;;;;;;;
eternal-marquina-30-mm-kompositsten;Eternal_Marquina;kvarts/komposit;30;;;/materials/Eternal_Marquina.jpg;;backorder;kompositstenskivor i silestone eternal marquina material är starka, hållbara och extremt hygienisk.;Eternal Marquina;;;;;;;;;
eternal-serena-20-mm-kompositsten;Eternal_Serena;kvarts/komposit;20;;;/materials/Eternal_Serena.jpg;;backorder;kompositstenskivor i silestone eternal serena material är starka, hållbara och extremt hygienisk.;Eternal Serena;;;;;;;;;
eternal-serena-30-mm-kompositsten;Eternal_Serena;kvarts/komposit;30;;;/materials/Eternal_Serena.jpg;;backorder;kompositstenskivor i silestone eternal serena material är starka, hållbara och extremt hygienisk.;Eternal Serena;;;;;;;;;
eternal-statuario-20-mm-kompositsten;Eternal_Statuario;kvarts/komposit;20;;;/materials/Eternal_Statuario.jpg;;backorder;kompositstenskivor i silestone eternal statuario material är starka, hållbara och extremt hygienisk.;Eternal Statuario;;;;;;;;;
eternal-statuario-30-mm-kompositsten;Eternal_Statuario;kvarts/komposit;30;;;/materials/Eternal_Statuario.jpg;;backorder;kompositstenskivor i silestone eternal statuario material är starka, hållbara och extremt hygienisk.;Eternal Statuario;;;;;;;;;
everest-21856;everest;kvartsit;3;;;/materials/everest.jpg;;backorder;polerad;everest;;;;;;;;;
everest-honed-22259;everest;kvartsit;3;;;/materials/everest.jpg;;backorder;läder;everest;;;;;;;;;
everest-leather-19701;everest;kvartsit;3;;;/materials/everest.jpg;;backorder;läder;everest;;;;;;;;;
everest-leather-21856;everest;kvartsit;3;;;/materials/everest.jpg;;backorder;polerad;everest;;;;;;;;;
exotic-green-ap;exotic-green-ap;keramik;6;;;/materials/exotic-green-ap.jpg;;backorder;polerad;exotic green ap;;;;;;;;;
exotic-wave-ap;exotic-wave-ap;keramik;6;;;/materials/exotic-wave-ap.jpg;;backorder;polerad;exotic wave ap;;;;;;;;;
explosion-blue-25880;explosion-blue;kvartsit;3;;;/materials/explosion-blue.jpg;;backorder;matt;explosion blue;;;;;;;;;
fantastico-arni-20-mm-marmor;Fantastico_Arni;marmor;20;;;/materials/Fantastico_Arni.jpg;;backorder;fantastico arni är en vit marmor med ett kraftigt vågmönster. dess hela skönhet framträder beroende av stenens mått – ju större yta, desto vackrare resultat. passar utmärkt till att skapa en spegeleffekt, för s.k. book-match ytor.;Fantastico Arni;;;;;;;;;
fantastico-arni-30-mm-marmor;Fantastico_Arni;marmor;30;;;/materials/Fantastico_Arni.jpg;;backorder;fantastico arni är en vit marmor med ett kraftigt vågmönster. dess hela skönhet framträder beroende av stenens mått – ju större yta, desto vackrare resultat. passar utmärkt till att skapa en spegeleffekt, för s.k. book-match ytor.;Fantastico Arni;;;;;;;;;
fantastico-arni-honed;Fantastico_Arni;marmor;20;;;/materials/Fantastico_Arni.jpg;;backorder;polerad;Fantastico Arni;;;;;;;;;
fantasy-brown-2865;fantasy-brown;marmor;3;;;/materials/fantasy-brown.jpg;;backorder;polerad;fantasy brown;;;;;;;;;
fantasy-brown-4087;fantasy-brown;marmor;3;;;/materials/fantasy-brown.jpg;;backorder;polerad;fantasy brown;;;;;;;;;
fantasy-brown-leather-1158;fantasy-brown;marmor;3;;;/materials/fantasy-brown.jpg;;backorder;läder;fantasy brown;;;;;;;;;
fantasy-green-l5292-2cm;fantasy-green-l5292;marmor;20;;;/materials/fantasy-green-l5292.jpg;;backorder;polerad;fantasy green l5292;;;;;;;;;
fantasy-lux-323;fantasy-lux;kvartsit;3;;;/materials/fantasy-lux.jpg;;backorder;polerad;fantasy lux;;;;;;;;;
fantasy-lux-51867;fantasy-lux;kvartsit;3;;;/materials/fantasy-lux.jpg;;backorder;polerad;fantasy lux;;;;;;;;;
fantasy-lux-honed-56754;fantasy-lux;kvartsit;3;;;/materials/fantasy-lux.jpg;;backorder;läder;fantasy lux;;;;;;;;;
fantasy-lux-leather-323;fantasy-lux;kvartsit;3;;;/materials/fantasy-lux.jpg;;backorder;läder;fantasy lux;;;;;;;;;
fantasy-lux-leather-52634;fantasy-lux;kvartsit;3;;;/materials/fantasy-lux.jpg;;backorder;läder;fantasy lux;;;;;;;;;
fior-di-bosco-ap;fior-di-bosco-ap;keramik;6;;;/materials/fior-di-bosco-ap.jpg;;backorder;matt;fior di bosco ap;;;;;;;;;
fior-di-viola-4d;fior-di-viola-4d;keramik;20;;;/materials/fior-di-viola-4d.jpg;;backorder;silkpolishednature;fior di viola 4d;;;;;;;;;
fiori-di-bosco-xt;fiori-di-bosco-xt;keramik;6;;;/materials/fiori-di-bosco-xt.jpg;;backorder;polerad;fiori di bosco xt;;;;;;;;;
fluorite;fluorite;semi precious,translucent,exotic stones;20;;;/materials/fluorite.jpg;;backorder;polerad;fluorite;;;;;;;;;
fossil-black;Fossil_Black;marmor;20;;;/materials/Fossil_Black.jpg;;backorder;;Fossil Black;;;;;;;;;
fuchsite-crystal-13800;fuchsite-crystal;kvartsit;3;;;/materials/fuchsite-crystal.jpg;;backorder;polerad;fuchsite crystal;;;;;;;;;
fuchsite-green-51996;fuchsite-green;kvartsit;3;;;/materials/fuchsite-green.jpg;;backorder;polerad;fuchsite green;;;;;;;;;
fusion-19050;fusion;kvartsit;3;;;/materials/fusion.jpg;;backorder;polerad;fusion;;;;;;;;;
fusion-204948;fusion;kvartsit;3;;;/materials/fusion.jpg;;backorder;polerad;fusion;;;;;;;;;
fusion-gold-3270;fusion-gold;granit;3;;;/materials/fusion-gold.jpg;;backorder;polerad;fusion gold;;;;;;;;;
giallo-dorato;Giallo_Dorato;marmor;20;;;/materials/Giallo_Dorato.jpg;;backorder;;Giallo Dorato;;;;;;;;;
giallo-fiorito-1006;giallo-fiorito;granit;3;;;/materials/giallo-fiorito.jpg;;backorder;polerad;giallo fiorito;;;;;;;;;
giallo-reale;Giallo_Reale;marmor;20;;;/materials/Giallo_Reale.jpg;;backorder;;Giallo Reale;;;;;;;;;
giallo-san-francisco-real;Giallo_San_Francisco_Real;marmor;20;;;/materials/Giallo_San_Francisco_Real.jpg;;backorder;;Giallo San Francisco Real;;;;;;;;;
giallo-siena;Giallo_Siena;marmor;20;;;/materials/Giallo_Siena.jpg;;backorder;;Giallo Siena;;;;;;;;;
glacier-canyon;glacier-canyon;kvarts/komposit;3;;;/materials/glacier-canyon.jpg;;backorder;polerad;glacier canyon;;;;;;;;;
glacier-white-3205;glacier-white;granit;3;;;/materials/glacier-white.jpg;;backorder;polerad;glacier white;;;;;;;;;
glaciers-06;glaciers;marmor;3;;;/materials/glaciers.jpg;;backorder;läder;glaciers;;;;;;;;;
glaciers-leather-50753;glaciers-revolution;marmor;3;;;/materials/glaciers-revolution.jpg;;backorder;polerad;glaciers revolution;;;;;;;;;
glaciers-revolution-194186;glaciers-revolution;marmor;3;;;/materials/glaciers-revolution.jpg;;backorder;polishednature;glaciers revolution;;;;;;;;;
glem-white-xt;glem-white-xt;keramik;20;;;/materials/glem-white-xt.jpg;;backorder;polerad;glem white xt;;;;;;;;;
golden-exotica-10493;golden-exotica;granit;3;;;/materials/golden-exotica.jpg;;backorder;polerad;golden exotica;;;;;;;;;
golden-fantasy-13951;golden-fantasy;granit;3;;;/materials/golden-fantasy.jpg;;backorder;polerad;golden fantasy;;;;;;;;;
golden-rose-995461;golden-rose;marmor;3;;;/materials/golden-rose.jpg;;backorder;polerad;golden rose;;;;;;;;;
goldfinch-20-mm-kompositsten;Goldfinch;kvarts/komposit;20;;;/materials/Goldfinch.jpg;;backorder;kvartsen caesarstone goldfinch kombinerar gyllene ådror med jordnära toner. perfekt för lyxiga arbetsytor i moderna rum.;Goldfinch;;;;;;;;;
