id,name,category,thickness_mm,price,edgePrice,image,discount,status,description,pros,care,supplier,supplierUrl,datasheetUrl
bricmate-jura-select-ivory-12-mm-keramik,Bricmate Jura Select Ivory (12 mm),Keramik,12,4277,420,,-0.10,available,,,,,,
bricmate-kolmarden-light-12-mm-keramik,Bricmate Kolmården Light (12 mm),Keramik,12,4277,420,,-0.10,available,,,,,,
bricmate-norrvange-beige-12-mm-keramik,Bricmate Norrvange Beige (12 mm),Keramik,12,4277,420,,-0.10,available,,,,,,
bricmate-norrvange-ivory-12-mm-keramik,Bricmate Norrvange Ivory (12 mm),Keramik,12,4277,420,,-0.10,available,,,,,,
bricmate-norrvange-light-grey-12-mm-keramik,Bricmate Norrvange Light Grey (12 mm),Keramik,12,4277,420,,-0.10,available,,,,,,
bricmate-runo-warm-grey-20-mm-keramik,Bricmate Runö Warm Grey (20 mm),Keramik,20,4277,420,,-0.10,available,,,,,,
bricmate-runo-warm-grey-12-mm-keramik,Bricmate Runö Warm Grey (12 mm),Keramik,12,4277,420,,-0.10,available,,,,,,
atlas-cream-prestige-silk-12-mm-keramik,Atlas Cream Prestige Silk (12 mm),Keramik,12,2236,420,,-0.10,available,,,,,,
atlas-fior-di-bosco-12-mm-keramik,Atlas Fior Di Bosco (12 mm),Keramik,12,2333,420,,-0.10,available,,,,,,
atlas-nero-marquina-12-mm-keramik,Atlas Nero Marquina (12 mm),Keramik,12,2441,420,,-0.10,available,,,,,,
atlas-sky-stone-12-mm-keramik,Atlas Sky Stone (12 mm),Keramik,12,2441,420,,-0.10,available,,,,,,
dekton-aeris-20-mm-keramik,Dekton Aeris (20 mm),Keramik,20,2722,420,,-0.10,available,,,,,,
dekton-aeris-12-mm-keramik,Dekton Aeris (12 mm),Keramik,12,2722,420,,-0.10,available,,,,,,
dekton-arga-20-mm-keramik,Dekton Arga (20 mm),Keramik,20,4525,420,,-0.10,available,,,,,,
dekton-arga-12-mm-keramik,Dekton Arga (12 mm),Keramik,12,4525,420,,-0.10,available,,,,,,
dekton-bergen-20-mm-keramik,Dekton Bergen (20 mm),Keramik,20,5972,420,,-0.10,available,,,,,,
dekton-bergen-12-mm-keramik,Dekton Bergen (12 mm),Keramik,12,5972,420,,-0.10,available,,,,,,
dekton-entzo-20-mm-keramik,Dekton Entzo (20 mm),Keramik,20,5033,420,,-0.10,available,,,,,,
dekton-entzo-12-mm-keramik,Dekton Entzo (12 mm),Keramik,12,5033,420,,-0.10,available,,,,,,
dekton-grafite-20-mm-keramik,Dekton Grafite (20 mm),Keramik,20,4482,420,,-0.10,available,,,,,,
dekton-grafite-12-mm-keramik,Dekton Grafite (12 mm),Keramik,12,4482,420,,-0.10,available,,,,,,
dekton-grigio-20-mm-keramik,Dekton Grigio (20 mm),Keramik,20,4396,420,,-0.10,available,,,,,,
dekton-grigio-12-mm-keramik,Dekton Grigio (12 mm),Keramik,12,4396,420,,-0.10,available,,,,,,
dekton-kelya-20-mm-keramik,Dekton Kelya (20 mm),Keramik,20,4396,420,,-0.10,available,,,,,,
dekton-kelya-12-mm-keramik,Dekton Kelya (12 mm),Keramik,12,4396,420,,-0.10,available,,,,,,
dekton-taga-20-mm-keramik,Dekton Taga (20 mm),Keramik,20,5972,420,,-0.10,available,,,,,,
dekton-taga-12-mm-keramik,Dekton Taga (12 mm),Keramik,12,5972,420,,-0.10,available,,,,,,
infinity-calacatta-magnifico-20-mm-keramik,Infinity Calacatta Magnifico (20 mm),Keramik,20,2516,420,,-0.10,available,,,,,,
infinity-calacatta-magnifico-12-mm-keramik,Infinity Calacatta Magnifico (12 mm),Keramik,12,2516,420,,-0.10,available,,,,,,
infinity-travertino-chiaro-20-mm-keramik,Infinity Travertino Chiaro (20 mm),Keramik,20,2516,420,,-0.10,available,,,,,,
infinity-travertino-chiaro-12-mm-keramik,Infinity Travertino Chiaro (12 mm),Keramik,12,2516,420,,-0.10,available,,,,,,
laminam-calce-tortora-12-mm-keramik,Laminam Calce Tortora (12 mm),Keramik,12,3499,420,,-0.10,available,,,,,,
laminam-diamond-cream-20-mm-keramik,Laminam Diamond Cream (20 mm),Keramik,20,3888,420,,-0.10,available,,,,,,
laminam-diamond-cream-12-mm-keramik,Laminam Diamond Cream (12 mm),Keramik,12,3888,420,,-0.10,available,,,,,,
porcelanosa-calacatta-gold-12-mm-keramik,Porcelanosa Calacatta Gold (12 mm),Keramik,12,3758,420,,-0.10,available,,,,,,
porcelanosa-taj-mahal-12-mm-keramik,Porcelanosa Taj Mahal (12 mm),Keramik,12,3888,420,,-0.10,available,,,,,,
calacatta-30-mm-terrazzo,Calacatta (30 mm),Terrazzo,30,1566,395,,-0.10,available,,,,,,
calacatta-20-mm-terrazzo,Calacatta (20 mm),Terrazzo,20,1566,395,,-0.10,available,,,,,,
carrara-0-25-30-mm-terrazzo,Carrara 0/25 (30 mm),Terrazzo,30,1382,395,,-0.10,available,,,,,,
carrara-0-25-20-mm-terrazzo,Carrara 0/25 (20 mm),Terrazzo,20,1382,395,,-0.10,available,,,,,,
fior-di-pesco-30-mm-terrazzo,Fior Di Pesco (30 mm),Terrazzo,30,1620,395,,-0.10,available,,,,,,
fior-di-pesco-20-mm-terrazzo,Fior Di Pesco (20 mm),Terrazzo,20,1620,395,,-0.10,available,,,,,,
gv-0-25-30-mm-terrazzo,GV 0/25 (30 mm),Terrazzo,30,1382,395,,-0.10,available,,,,,,
gv-0-25-20-mm-terrazzo,GV 0/25 (20 mm),Terrazzo,20,1382,395,,-0.10,available,,,,,,
perlato-royal-30-mm-terrazzo,Perlato Royal (30 mm),Terrazzo,30,1512,395,,-0.10,available,,,,,,
perlato-royal-20-mm-terrazzo,Perlato Royal (20 mm),Terrazzo,20,1512,395,,-0.10,available,,,,,,
adamina-20-mm-kompositsten,Adamina (20 mm),Kompositsten,20,4255,350,,-0.10,available,,,,,,
airy-concrete-20-mm-kompositsten,Airy Concrete (20 mm),Kompositsten,20,4255,350,,-0.10,available,,,,,,
alpine-mist-30-mm-kompositsten,Alpine Mist (30 mm),Kompositsten,30,4255,350,,-0.10,available,,,,,,
alpine-mist-20-mm-kompositsten,Alpine Mist (20 mm),Kompositsten,20,4255,350,,-0.10,available,,,,,,
ambiente-light-30-mm-kompositsten,Ambiente Light (30 mm),Kompositsten,30,3996,350,,-0.10,available,,,,,,
ambiente-light-20-mm-kompositsten,Ambiente Light (20 mm),Kompositsten,20,3996,350,,-0.10,available,,,,,,
azur-creme-20-mm-kompositsten,Azur Creme (20 mm),Kompositsten,20,1760,350,,-0.10,available,,,,,,
bianco-drift-30-mm-kompositsten,Bianco Drift (30 mm),Kompositsten,30,4255,350,,-0.10,available,,,,,,
bianco-drift-20-mm-kompositsten,Bianco Drift (20 mm),Kompositsten,20,4255,350,,-0.10,available,,,,,,
black-tempal-20-mm-kompositsten,Black Tempal (20 mm),Kompositsten,20,4255,350,,-0.10,available,,,,,,
breeze-ashen-light-30-mm-kompositsten,Breeze Ashen Light (30 mm),Kompositsten,30,2938,350,,-0.10,available,,,,,,
breeze-ashen-light-20-mm-kompositsten,Breeze Ashen Light (20 mm),Kompositsten,20,2938,350,,-0.10,available,,,,,,
bretagne-20-mm-kompositsten,Bretagne (20 mm),Kompositsten,20,2128,350,,-0.10,available,,,,,,
brilliant-black-30-mm-kompositsten,Brilliant Black (30 mm),Kompositsten,30,1998,350,,-0.10,available,,,,,,
brilliant-black-20-mm-kompositsten,Brilliant Black (20 mm),Kompositsten,20,1998,350,,-0.10,available,,,,,,
brilliant-white-30-mm-kompositsten,Brilliant White (30 mm),Kompositsten,30,1998,350,,-0.10,available,,,,,,
brilliant-white-20-mm-kompositsten,Brilliant White (20 mm),Kompositsten,20,1998,350,,-0.10,available,,,,,,
calacatta-cannes-gold-20-mm-kompositsten,Calacatta Cannes Gold (20 mm),Kompositsten,20,2462,350,,-0.10,available,,,,,,
calacatta-concorde-20-mm-kompositsten,Calacatta Concorde (20 mm),Kompositsten,20,2311,350,,-0.10,available,,,,,,
calacatta-monaco-20-mm-kompositsten,Calacatta Monaco (20 mm),Kompositsten,20,2311,350,,-0.10,available,,,,,,
calacatta-nuvo-20-mm-kompositsten,Calacatta Nuvo (20 mm),Kompositsten,20,5281,350,,-0.10,available,,,,,,
calacatta-olympos-30-mm-kompositsten,Calacatta Olympos (30 mm),Kompositsten,30,3737,350,,-0.10,available,,,,,,
calacatta-olympos-20-mm-kompositsten,Calacatta Olympos (20 mm),Kompositsten,20,3737,350,,-0.10,available,,,,,,
calacatta-trua-20-mm-kompositsten,Calacatta Trua (20 mm),Kompositsten,20,2516,350,,-0.10,available,,,,,,
cassis-20-mm-kompositsten,Cassis (20 mm),Kompositsten,20,2462,350,,-0.10,available,,,,,,
chamonix-20-mm-kompositsten,Chamonix (20 mm),Kompositsten,20,2462,350,,-0.10,available,,,,,,
champagne-20-mm-kompositsten,Champagne (20 mm),Kompositsten,20,1523,350,,-0.10,available,,,,,,
charcoal-soapstone-30-mm-kompositsten,Charcoal Soapstone (30 mm),Kompositsten,30,3499,350,,-0.10,available,,,,,,
charcoal-soapstone-20-mm-kompositsten,Charcoal Soapstone (20 mm),Kompositsten,20,3499,350,,-0.10,available,,,,,,
clamshell-30-mm-kompositsten,Clamshell (30 mm),Kompositsten,30,3683,350,,-0.10,available,,,,,,
clamshell-20-mm-kompositsten,Clamshell (20 mm),Kompositsten,20,3683,350,,-0.10,available,,,,,,
cloudburst-concrete-30-mm-kompositsten,Cloudburst Concrete (30 mm),Kompositsten,30,4255,350,,-0.10,available,,,,,,
cloudburst-concrete-20-mm-kompositsten,Cloudburst Concrete (20 mm),Kompositsten,20,4255,350,,-0.10,available,,,,,,
coral-clay-30-mm-kompositsten,Coral Clay (30 mm),Kompositsten,30,3143,350,,-0.10,available,,,,,,
coral-clay-20-mm-kompositsten,Coral Clay (20 mm),Kompositsten,20,3143,350,,-0.10,available,,,,,,
crystal-absolute-white-30-mm-kompositsten,Crystal Absolute White (30 mm),Kompositsten,30,2257,350,,-0.10,available,,,,,,
crystal-absolute-white-20-mm-kompositsten,Crystal Absolute White (20 mm),Kompositsten,20,2257,350,,-0.10,available,,,,,,
crystal-calacatta-silva-30-mm-kompositsten,Crystal Calacatta Silva (30 mm),Kompositsten,30,3596,350,,-0.10,available,,,,,,
crystal-calacatta-silva-20-mm-kompositsten,Crystal Calacatta Silva (20 mm),Kompositsten,20,3596,350,,-0.10,available,,,,,,
crystal-diamond-30-mm-kompositsten,Crystal Diamond (30 mm),Kompositsten,30,2257,350,,-0.10,available,,,,,,
crystal-diamond-20-mm-kompositsten,Crystal Diamond (20 mm),Kompositsten,20,2257,350,,-0.10,available,,,,,,
crystal-polar-white-30-mm-kompositsten,Crystal Polar White (30 mm),Kompositsten,30,2257,350,,-0.10,available,,,,,,
crystal-polar-white-20-mm-kompositsten,Crystal Polar White (20 mm),Kompositsten,20,2257,350,,-0.10,available,,,,,,
darcrest-20-mm-kompositsten,Darcrest (20 mm),Kompositsten,20,4255,350,,-0.10,available,,,,,,
decore-ocra-20-mm-kompositsten,Decore Ocra (20 mm),Kompositsten,20,2938,350,,-0.10,available,,,,,,
dreamy-carrara-30-mm-kompositsten,Dreamy Carrara (30 mm),Kompositsten,30,4914,350,,-0.10,available,,,,,,
dreamy-carrara-20-mm-kompositsten,Dreamy Carrara (20 mm),Kompositsten,20,4914,350,,-0.10,available,,,,,,
empira-black-20-mm-kompositsten,Empira Black (20 mm),Kompositsten,20,5281,350,,-0.10,available,,,,,,
empira-white-20-mm-kompositsten,Empira White (20 mm),Kompositsten,20,5281,350,,-0.10,available,,,,,,
fossil-nautilus-20-mm-kompositsten,Fossil Nautilus (20 mm),Kompositsten,20,2938,350,,-0.10,available,,,,,,
frosty-carrina-30-mm-kompositsten,Frosty Carrina (30 mm),Kompositsten,30,4255,350,,-0.10,available,,,,,,
frosty-carrina-20-mm-kompositsten,Frosty Carrina (20 mm),Kompositsten,20,4255,350,,-0.10,available,,,,,,
glencoe-30-mm-kompositsten,Glencoe (30 mm),Kompositsten,30,3737,350,,-0.10,available,,,,,,
glencoe-20-mm-kompositsten,Glencoe (20 mm),Kompositsten,20,3737,350,,-0.10,available,,,,,,
gobi-black-30-mm-kompositsten,Gobi Black (30 mm),Kompositsten,30,1728,350,,-0.10,available,,,,,,
gobi-black-20-mm-kompositsten,Gobi Black (20 mm),Kompositsten,20,1728,350,,-0.10,available,,,,,,
gobi-grey-30-mm-kompositsten,Gobi Grey (30 mm),Kompositsten,30,1728,350,,-0.10,available,,,,,,
gobi-grey-20-mm-kompositsten,Gobi Grey (20 mm),Kompositsten,20,1728,350,,-0.10,available,,,,,,
gobi-urban-30-mm-kompositsten,Gobi Urban (30 mm),Kompositsten,30,1728,350,,-0.10,available,,,,,,
gobi-urban-20-mm-kompositsten,Gobi Urban (20 mm),Kompositsten,20,1728,350,,-0.10,available,,,,,,
lavic-navajo-30-mm-kompositsten,Lavic Navajo (30 mm),Kompositsten,30,2387,350,,-0.10,available,,,,,,
lavic-navajo-20-mm-kompositsten,Lavic Navajo (20 mm),Kompositsten,20,2387,350,,-0.10,available,,,,,,
london-grey-30-mm-kompositsten,London Grey (30 mm),Kompositsten,30,4255,350,,-0.10,available,,,,,,
london-grey-20-mm-kompositsten,London Grey (20 mm),Kompositsten,20,4255,350,,-0.10,available,,,,,,
moorland-fog-30-mm-kompositsten,Moorland Fog (30 mm),Kompositsten,30,4255,350,,-0.10,available,,,,,,
moorland-fog-20-mm-kompositsten,Moorland Fog (20 mm),Kompositsten,20,4255,350,,-0.10,available,,,,,,
mystery-white-30-mm-kompositsten,Mystery White (30 mm),Kompositsten,30,3596,350,,-0.10,available,,,,,,
mystery-white-20-mm-kompositsten,Mystery White (20 mm),Kompositsten,20,3596,350,,-0.10,available,,,,,,
noble-arco-30-mm-kompositsten,Noble Arco (30 mm),Kompositsten,30,2516,350,,-0.10,available,,,,,,
noble-arco-20-mm-kompositsten,Noble Arco (20 mm),Kompositsten,20,2516,350,,-0.10,available,,,,,,
noble-areti-bianco-30-mm-kompositsten,Noble Areti Bianco (30 mm),Kompositsten,30,2516,350,,-0.10,available,,,,,,
noble-areti-bianco-20-mm-kompositsten,Noble Areti Bianco (20 mm),Kompositsten,20,2516,350,,-0.10,available,,,,,,
noble-athos-brown-30-mm-kompositsten,Noble Athos Brown (30 mm),Kompositsten,30,2149,350,,-0.10,available,,,,,,
noble-athos-brown-20-mm-kompositsten,Noble Athos Brown (20 mm),Kompositsten,20,2149,350,,-0.10,available,,,,,,
noble-carrara-30-mm-kompositsten,Noble Carrara (30 mm),Kompositsten,30,2149,350,,-0.10,available,,,,,,
noble-carrara-20-mm-kompositsten,Noble Carrara (20 mm),Kompositsten,20,2149,350,,-0.10,available,,,,,,
noble-concrete-grey-30-mm-kompositsten,Noble Concrete Grey (30 mm),Kompositsten,30,1998,350,,-0.10,available,,,,,,
noble-concrete-grey-20-mm-kompositsten,Noble Concrete Grey (20 mm),Kompositsten,20,1998,350,,-0.10,available,,,,,,
noble-ivory-white-30-mm-kompositsten,Noble Ivory White (30 mm),Kompositsten,30,1998,350,,-0.10,available,,,,,,
noble-ivory-white-20-mm-kompositsten,Noble Ivory White (20 mm),Kompositsten,20,1998,350,,-0.10,available,,,,,,
noble-olympos-mist-30-mm-kompositsten,Noble Olympos Mist (30 mm),Kompositsten,30,2516,350,,-0.10,available,,,,,,
noble-olympos-mist-20-mm-kompositsten,Noble Olympos Mist (20 mm),Kompositsten,20,2516,350,,-0.10,available,,,,,,
noble-pietra-grey-30-mm-kompositsten,Noble Pietra Grey (30 mm),Kompositsten,30,1998,350,,-0.10,available,,,,,,
noble-pietra-grey-20-mm-kompositsten,Noble Pietra Grey (20 mm),Kompositsten,20,1998,350,,-0.10,available,,,,,,
noble-quartzite-30-mm-kompositsten,Noble Quartzite (30 mm),Kompositsten,30,2516,350,,-0.10,available,,,,,,
noble-quartzite-20-mm-kompositsten,Noble Quartzite (20 mm),Kompositsten,20,2516,350,,-0.10,available,,,,,,
noble-supreme-white-30-mm-kompositsten,Noble Supreme White (30 mm),Kompositsten,30,2516,350,,-0.10,available,,,,,,
noble-supreme-white-20-mm-kompositsten,Noble Supreme White (20 mm),Kompositsten,20,2516,350,,-0.10,available,,,,,,
noble-troya-30-mm-kompositsten,Noble Troya (30 mm),Kompositsten,30,1998,350,,-0.10,available,,,,,,
noble-troya-20-mm-kompositsten,Noble Troya (20 mm),Kompositsten,20,1998,350,,-0.10,available,,,,,,
noble-villa-20-mm-kompositsten,Noble Villa (20 mm),Kompositsten,20,2516,350,,-0.10,available,,,,,,
noble-vintage-30-mm-kompositsten,Noble Vintage (30 mm),Kompositsten,30,1890,350,,-0.10,available,,,,,,
noble-vintage-20-mm-kompositsten,Noble Vintage (20 mm),Kompositsten,20,1890,350,,-0.10,available,,,,,,
nougat-20-mm-kompositsten,Nougat (20 mm),Kompositsten,20,3100,350,,-0.10,available,,,,,,
organic-white-20-mm-kompositsten,Organic White (20 mm),Kompositsten,20,3629,350,,-0.10,available,,,,,,
oxidian-20-mm-kompositsten,Oxidian (20 mm),Kompositsten,20,4255,350,,-0.10,available,,,,,,
oyster-30-mm-kompositsten,Oyster (30 mm),Kompositsten,30,3683,350,,-0.10,available,,,,,,
oyster-20-mm-kompositsten,Oyster (20 mm),Kompositsten,20,3683,350,,-0.10,available,,,,,,
piatra-grey-30-mm-kompositsten,Piatra Grey (30 mm),Kompositsten,30,4255,350,,-0.10,available,,,,,,
piatra-grey-20-mm-kompositsten,Piatra Grey (20 mm),Kompositsten,20,4255,350,,-0.10,available,,,,,,
planet-mars-30-mm-kompositsten,Planet Mars (30 mm),Kompositsten,30,3942,350,,-0.10,available,,,,,,
planet-mars-20-mm-kompositsten,Planet Mars (20 mm),Kompositsten,20,3942,350,,-0.10,available,,,,,,
planet-pluto-30-mm-kompositsten,Planet Pluto (30 mm),Kompositsten,30,3942,350,,-0.10,available,,,,,,
planet-pluto-20-mm-kompositsten,Planet Pluto (20 mm),Kompositsten,20,3942,350,,-0.10,available,,,,,,
pure-white-30-mm-kompositsten,Pure White (30 mm),Kompositsten,30,3629,350,,-0.10,available,,,,,,
pure-white-20-mm-kompositsten,Pure White (20 mm),Kompositsten,20,3629,350,,-0.10,available,,,,,,
raven-30-mm-kompositsten,Raven (30 mm),Kompositsten,30,3683,350,,-0.10,available,,,,,,
raven-20-mm-kompositsten,Raven (20 mm),Kompositsten,20,3683,350,,-0.10,available,,,,,,
residente-dark-20-mm-kompositsten,Residente Dark (20 mm),Kompositsten,20,3996,350,,-0.10,available,,,,,,
riverlet-20-mm-kompositsten,Riverlet (20 mm),Kompositsten,20,3996,350,,-0.10,available,,,,,,
rugged-concrete-30-mm-kompositsten,Rugged Concrete (30 mm),Kompositsten,30,4255,350,,-0.10,available,,,,,,
rugged-concrete-20-mm-kompositsten,Rugged Concrete (20 mm),Kompositsten,20,4255,350,,-0.10,available,,,,,,
shitake-30-mm-kompositsten,Shitake (30 mm),Kompositsten,30,3683,350,,-0.10,available,,,,,,
shitake-20-mm-kompositsten,Shitake (20 mm),Kompositsten,20,3683,350,,-0.10,available,,,,,,
snow-30-mm-kompositsten,Snow (30 mm),Kompositsten,30,3100,350,,-0.10,available,,,,,,
snow-20-mm-kompositsten,Snow (20 mm),Kompositsten,20,3100,350,,-0.10,available,,,,,,
snowy-ibiza-30-mm-kompositsten,Snowy Ibiza (30 mm),Kompositsten,30,2657,350,,-0.10,available,,,,,,
snowy-ibiza-20-mm-kompositsten,Snowy Ibiza (20 mm),Kompositsten,20,2657,350,,-0.10,available,,,,,,
starlight-black-30-mm-kompositsten,Starlight Black (30 mm),Kompositsten,30,1728,350,,-0.10,available,,,,,,
starlight-black-20-mm-kompositsten,Starlight Black (20 mm),Kompositsten,20,1728,350,,-0.10,available,,,,,,
starlight-white-30-mm-kompositsten,Starlight White (30 mm),Kompositsten,30,1728,350,,-0.10,available,,,,,,
starlight-white-20-mm-kompositsten,Starlight White (20 mm),Kompositsten,20,1728,350,,-0.10,available,,,,,,
symphony-grey-30-mm-kompositsten,Symphony Grey (30 mm),Kompositsten,30,4255,350,,-0.10,available,,,,,,
symphony-grey-20-mm-kompositsten,Symphony Grey (20 mm),Kompositsten,20,4255,350,,-0.10,available,,,,,,
taj-royale-20-mm-kompositsten,Taj Royale (20 mm),Kompositsten,20,4255,350,,-0.10,available,,,,,,
tarn-20-mm-kompositsten,Tarn (20 mm),Kompositsten,20,2786,350,,-0.10,available,,,,,,
turbine-grey-30-mm-kompositsten,Turbine Grey (30 mm),Kompositsten,30,4255,350,,-0.10,available,,,,,,
turbine-grey-20-mm-kompositsten,Turbine Grey (20 mm),Kompositsten,20,4255,350,,-0.10,available,,,,,,
vanilla-noir-30-mm-kompositsten,Vanilla Noir (30 mm),Kompositsten,30,4255,350,,-0.10,available,,,,,,
