id;name;category;thickness_mm;price;edgePrice;image;discount;status;description;pros;care;supplier;supplierUrl;datasheetUrl;Column1;_1;_2;_3;id_4
laminam-diamond-cream-20-mm-keramik;laminam diamond cream (20 mm);keramik;20;3888.0;;/materials/Laminam_Diamond_Cream.jpg;-0.1;available;laminam diamond cream keramik är som en varm omfamning – ett material som erbjuder trivsel och passar såväl inomhus som ute.;;;;;;;;;;
lavic-navajo-20-mm-kompositsten;lavic navajo (20 mm);kvarts/komposit;20;2387.0;;/materials/Lavic_Navajo.jpg;-0.1;available;kompositsten lavic navajo är stark och icke-porös. detta gör kvartsstenen mycket hygienisk. en bänkskiva i lavic navajo kvartssten är ett konstverk!;;;;;;;;;;
lavic-navajo-30-mm-kompositsten;lavic navajo (30 mm);kvarts/komposit;30;3342.0;;/materials/Lavic_Navajo.jpg;-0.1;available;kompositsten lavic navajo är stark och icke-porös. detta gör kvartsstenen mycket hygienisk. en bänkskiva i lavic navajo kvartssten är ett konstverk!;;;;;;;;;;
lemon-ice-20-mm-granit;lemon ice (20 mm);granit;20;2074.0;;/materials/Lemon_Ice.jpg;-0.1;available;lemon ice är en ljusgrå, gyllenbeige granit som bryts i indien som passar för olika slags designprojekt interiört eller exteriört.;;;;;;;;;;
lemon-ice-30-mm-granit;lemon ice (30 mm);granit;30;2904.0;;/materials/Lemon_Ice.jpg;-0.1;available;lemon ice är en ljusgrå, gyllenbeige granit som bryts i indien som passar för olika slags designprojekt interiört eller exteriört.;;;;;;;;;;
london-grey-20-mm-kompositsten;london grey (20 mm);kvarts/komposit;20;4255.0;;/materials/London_Grey.jpg;-0.1;available;"london grey är en ljus kvarts i supernatural-kollektionen. mönstringen påminner om marmor. polerad (polerad-p); 20 mm och 30mm.";;;;;;;;;;
london-grey-30-mm-kompositsten;london grey (30 mm);kvarts/komposit;30;5957.0;;/materials/London_Grey.jpg;-0.1;available;"london grey är en ljus kvarts i supernatural-kollektionen. mönstringen påminner om marmor. polerad (polerad-p); 20 mm och 30mm.";;;;;;;;;;
moorland-fog-20-mm-kompositsten;moorland fog (20 mm);kvarts/komposit;20;4255.0;;/materials/Moorland_Fog.jpg;-0.1;available;"moorland fog är en sten i kollektionen supernatural. mot den krämfärgade ljusa bakgrunden slingrar ett mönster av mörkbruna och grå marmorådror. polerad (polerad-p); 20 mm och 30mm.";;;;;;;;;;
moorland-fog-30-mm-kompositsten;moorland fog (30 mm);kvarts/komposit;30;5957.0;;/materials/Moorland_Fog.jpg;-0.1;available;"moorland fog är en sten i kollektionen supernatural. mot den krämfärgade ljusa bakgrunden slingrar ett mönster av mörkbruna och grå marmorådror. polerad (polerad-p); 20 mm och 30mm.";;;;;;;;;;
mystery-white-20-mm-kompositsten;mystery white (20 mm);kvarts/komposit;20;3596.0;;/materials/Mystery_White.jpg;-0.1;available;mystery white är kvartskomposit vars pärlvita marmorerade bakgrund kompletteras av mjukgrå linher-vener. kompositsten är stark, tålig och icke-porös.;;;;;;;;;;
